ID,OS_Info,Browser_Info,Error,Recorded_At
15,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-19 19:38:14.916666
17,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-20 05:28:39.840000
19,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-20 17:53:17.830000
25,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-22 02:09:50.076666
27,macOS Yosemite,Safari 8.0.2,TypeError: undefined is not an object (evaluating 'window.gapi.auth2'),2021-04-23 18:51:01.240000
28,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-23 20:01:18.416666
29,Windows 7,Safari Unknown version,TypeError: Cannot read property 'auth2' of undefined,2021-04-23 21:43:57.293333
31,Windows 10,Chrome 89.0.4389.128,"ChunkLoadError: Loading chunk 8 failed.
(error: https://simonscmap.com/static/js/8.fc6d4b13.chunk.js)",2021-04-23 22:32:28.813333
34,Windows 10,Chrome 90.0.4430.85,"ChunkLoadError: Loading chunk 0 failed.
(error: http://localhost:3000/static/js/0.chunk.js)",2021-04-27 17:08:15.196666
36,Windows 10,Chrome 90.0.4430.85,TypeError: Cannot read property 'length' of undefined,2021-04-28 02:10:42.053333
38,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-28 09:54:28.416666
41,Android Marshmallow,Googlebot 2.1,"ChunkLoadError: Loading chunk 7 failed.
(error: https://simonscmap.com/static/js/7.dcae3ddc.chunk.js)",2021-04-29 18:17:07.643333
43,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-29 19:51:27.780000
46,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-03 01:31:37.950000
52,Windows 10,Chrome 90.0.4430.93,"Error: ""dateCount"" is read-only",2021-05-06 19:42:46.366666
53,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 9 failed.
(error: https://simonscmap.com/static/js/9.75790231.chunk.js)",2021-05-06 20:42:14.643333
54,Windows 10,Chrome 90.0.4430.93,"ChunkLoadError: Loading chunk 2 failed.
(missing: https://simonscmap.com/static/js/2.d458abff.chunk.js)",2021-05-07 16:33:33.940000
56,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-08 06:27:48.513333
58,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-08 18:33:30.640000
61,Windows 10,Chrome 78.0.3904.97,NotFoundError: Failed to execute 'insertBefore' on 'Node': The node before which the new node is to be inserted is not a child of this node.,2021-05-10 02:49:23.953333
62,Windows 10,Chrome 78.0.3904.97,NotFoundError: Failed to execute 'insertBefore' on 'Node': The node before which the new node is to be inserted is not a child of this node.,2021-05-10 02:49:43.176666
70,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-12 07:21:44.756666
71,Windows 10,Chrome 90.0.4430.212,Error: Cannot find module './Components/Catalog/Catalog',2021-05-12 13:54:51.326666
73,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 15 failed.
(error: https://simonscmap.com/static/js/15.9dde93cc.chunk.js)",2021-05-13 05:55:33.080000
74,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-13 12:11:14.760000
75,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-14 06:39:38.860000
76,macOS Yosemite,Safari 8.0.2,TypeError: undefined is not an object (evaluating 'window.gapi.auth2'),2021-05-15 06:47:44.316666
14,Windows 10,Chrome 89.0.4389.90,"ChunkLoadError: Loading chunk 16 failed.
(missing: https://simonscmap.dev/static/js/16.ecacd01f.chunk.js)",2021-04-19 15:12:24.220000
16,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-20 00:05:07.350000
18,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 23 failed.
(error: https://simonscmap.com/static/js/23.8a163441.chunk.js)",2021-04-20 17:09:19.830000
21,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-20 19:10:15.063333
23,Android Oreo,UC Browser 4.0,"ChunkLoadError: Loading chunk 0 failed.
(timeout: https://simonscmap.com/static/js/0.60070478.chunk.js)",2021-04-20 22:33:18.040000
24,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-21 09:53:29.900000
26,Unknown OS Unknown version,Mozilla 5.0,TypeError: Cannot read property 'auth2' of undefined,2021-04-22 16:05:57.056666
32,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-25 02:38:45.680000
35,Windows 10,Chrome 90.0.4430.85,TypeError: Cannot read property 'length' of undefined,2021-04-28 01:36:40.663333
39,macOS Yosemite,Safari 8.0.2,TypeError: undefined is not an object (evaluating 'window.gapi.auth2'),2021-04-28 18:25:19.060000
45,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-30 01:14:08.356666
47,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 15 failed.
(error: https://simonscmap.dev/static/js/15.a348e7dd.chunk.js)",2021-05-03 15:11:52.290000
48,Windows 10,Chrome 90.0.4430.85,TypeError: Cannot read property 'toLowerCase' of null,2021-05-03 16:55:50.613333
49,macOS Yosemite,Chrome 87.0.4280.141,"ChunkLoadError: Loading chunk 12 failed.
(missing: https://simonscmap.dev/static/js/12.d294073e.chunk.js)",2021-05-04 17:41:17.016666
50,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-05 20:58:54.570000
51,Windows 10,Chrome 90.0.4430.93,"ChunkLoadError: Loading chunk 3 failed.
(missing: https://simonscmap.dev/static/js/3.859cded0.chunk.js)",2021-05-06 18:32:37.716666
57,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-08 10:54:58.290000
59,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-09 11:23:21.600000
64,Unknown OS Unknown version,Mozilla 5.0,TypeError: Cannot read property 'auth2' of undefined,2021-05-10 06:14:04.223333
65,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 1 failed.
(error: http://54.193.55.137/static/js/1.894db19b.chunk.js)",2021-05-10 19:51:01.766666
66,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 8 failed.
(error: https://simonscmap.dev/static/js/8.814a3bf6.chunk.js)",2021-05-11 03:35:55.773333
67,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-11 11:37:54.393333
69,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-12 00:49:39.690000
72,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-13 01:24:27.870000
79,Windows 7,Safari Unknown version,TypeError: Cannot read property 'auth2' of undefined,2021-05-20 10:09:36.050000
80,Android Marshmallow,Googlebot 2.1,"ChunkLoadError: Loading chunk 15 failed.
(error: https://simonscmap.com/static/js/15.9dde93cc.chunk.js)",2021-05-22 02:45:58.580000
81,macOS Yosemite,Safari 8.0.2,TypeError: undefined is not an object (evaluating 'window.gapi.auth2'),2021-05-22 15:55:22.730000
82,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-22 21:17:31.783333
20,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-20 18:34:29.380000
22,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 3 failed.
(error: https://simonscmap.com/static/js/3.9ad708c1.chunk.js)",2021-04-20 20:11:34.620000
30,Windows 10,Chrome 89.0.4389.128,"ChunkLoadError: Loading chunk 8 failed.
(error: https://simonscmap.dev/static/js/8.fc6d4b13.chunk.js)",2021-04-23 22:32:12.366666
33,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-27 01:51:42.653333
37,Windows 10,Chrome 90.0.4430.85,TypeError: Cannot read property 'length' of undefined,2021-04-28 02:10:42.443333
40,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-29 16:16:47.033333
42,Android Marshmallow,Googlebot 2.1,"ChunkLoadError: Loading chunk 2 failed.
(error: https://simonscmap.com/static/js/2.d458abff.chunk.js)",2021-04-29 19:20:45.756666
44,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-04-30 00:23:29.183333
55,Windows 10,Chrome 90.0.4430.93,"ChunkLoadError: Loading chunk 20 failed.
(missing: https://simonscmap.com/static/js/20.94626f7c.chunk.js)",2021-05-07 17:03:57.360000
60,Unknown OS Unknown version,Mozilla 5.0,TypeError: Cannot read property 'auth2' of undefined,2021-05-09 20:38:08.450000
63,Windows 10,Chrome 78.0.3904.97,NotFoundError: Failed to execute 'insertBefore' on 'Node': The node before which the new node is to be inserted is not a child of this node.,2021-05-10 02:50:14.920000
68,Unknown OS Unknown version,Googlebot 2.1,"ChunkLoadError: Loading chunk 15 failed.
(error: https://simonscmap.dev/static/js/15.9dde93cc.chunk.js)",2021-05-11 23:58:52.026666
77,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-16 09:39:42.810000
78,macOS Yosemite,Chrome 87.0.4280.141,"ChunkLoadError: Loading chunk 12 failed.
(missing: https://simonscmap.com/static/js/12.72013350.chunk.js)",2021-05-17 17:40:35.090000
84,Android Marshmallow,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-24 04:44:12.933333
83,Unknown OS Unknown version,Googlebot 2.1,TypeError: Cannot read property 'auth2' of undefined,2021-05-23 14:37:51.906666
